Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
OPERATION ASSISTANT / CLERK,Sun Hung Kai Properties Ltd,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Assistant Professor in Department of Science and Environmental Studies (Ref: 2400950),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-13
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-09-24
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-09-24
YUM China 2025 Management Trainee Program,"Qianjin Network Information Technology (Shanghai) Co., Ltd. (51Job)","Management Trainee, Full Time, Graduate",CNY (¥),Negotiable,2024-09-20
Audit Associate,MCMILLAN WOODS (HONG KONG) CPA LIMITED,"Full Time, Graduate",HKD ($),18K - 50K per month,2024-09-28
青年工作員 (地區統籌) (青年空間支援組(112)),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-09-28
Legal Intern,Zurich Services (Hong Kong) Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-15
Tax and Corporate Services Internship - Part-time,LOUIS LAI & LUK CPA LIMITED,"Part Time, Internship",HKD ($),80 - 100 per hour,2024-09-28
Company Secretarial Officer (Part-time),A&G Consultancy Limited,"Part Time, Internship",HKD ($),60 - 80 per hour,2024-09-05
繪畫導師/助教（兼職/全職均考慮,Upper art Limited,"Part Time, Temporary",HKD ($),50 - 80 per hour,2024-09-28
