Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Intern - Business Process Analyst (Contract role from Sep 2024 - Feb 2025),Lidl & Kaufland Asia Pte. Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-20
UX/ UI Designer,PortfoPlus Limited,"Full Time, Internship",HKD ($),8K - 12K per month,2024-09-08
Programmer (Java / ASP .NET) (5 Days Work),Million Tech Development Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-20
Business Officer (IT),Million Tech Development Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-20
Software Engineer III,Million Tech Development Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-20
Associate Business Analyst (Software Development and Implementation),Million Tech Development Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-20
System Support Engineer,Million Tech Development Limited,"Full Time, Graduate",HKD ($),22K - 28K per month,2024-09-20
Part-time Helper - Industry Practices and Research,Hong Kong Green Building Council Limited (HKGBC),"Part Time, Temporary",HKD ($),65 - 100 per hour,2024-09-20
Financial Planner / Wealth Manager,Money Concepts (Asia) Holdings Limited,"Full Time, Graduate",HKD ($),10K - 13K per month,2024-09-20
市場推廣統籌 (合約) (編號：ERBER/89624),St. James' Settlement,"Full Time, Graduate",HKD ($),18.8K - 24K per month,2024-09-06
Midas Tech 2025 Summer Internship Program,Midas Technologies,"Full Time, Internship",CNY (¥),500 - 1K per day,2024-09-20
Social Media Assistant,PortfoPlus Limited,"Full Time, Graduate",HKD ($),9K - 12K per month,2024-09-15
Part Time Client Services Representative,QIMA TESTING (HK) LIMITED,"Part Time, Temporary",HKD ($),60 per hour,2024-08-31
Client Services Representative,QIMA TESTING (HK) LIMITED,"Full Time, Graduate",HKD ($),15K per month,2024-08-31
Recruitment Assistant,peaceful east management co. limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Account Executive (JobMarket 求職廣場),Sing Tao Management Services Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-08-29
Content Marketing Intern,ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-20
"Intern, Retail Banking (Full/Part time)",ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-20
Wealth Management Intern,ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-20
Intern - Risk Management,CMB International Capital Corporation Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-13
"Business Development Specialist, Urbanism + Planning",AECOM Asia Company Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-20
Clerk,Crypto HK Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-08
助理導師,HONG KONG JUVENILE CARE CENTRE,"Full Time, Graduate",HKD ($),18K - 19.6K per month,2024-09-20
家舍導師,HONG KONG JUVENILE CARE CENTRE,"Full Time, Graduate",HKD ($),24.5K - 25.12K per month,2024-09-20
功課輔導班導師(到校),HONG KONG PLAYGROUND ASSOCIATION-SOCIAL ENTERPRISE,"Part Time, Temporary",HKD ($),140 - 175 per hour,2024-09-13
Project Assistant in Centre for Language in Education (Ref: 2400941),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),28.75K per month,2024-09-05
到社區中心(觀塘區順利邨)(一至五)小學功課輔導班導師(AH05),Hong Kong Education Services Center,"Part Time, Temporary",HKD ($),75 - 80 per hour,2024-09-15
課餘託管服務 – 兼職課託小組導師,YMCA of Hong Kong,"Part Time, Temporary",HKD ($),80 - 100 per hour,2024-09-20
PMO (Project Management Office) Trainee - Enterprise CRM / ERP / HCM,Global Sharp International Limited,"Full Time, Graduate",HKD ($),25K - 27K per month,2024-09-05
Assistant to Chairman,Sheraton Valuers Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-19
Audit Senior,"WWC Professional Corporation Limited, CPAs (Practising)","Job at oversea location, Full Time, Graduate",HKD ($),24K - 40K per month,2024-09-16
Assistant,Alles Compliance Consulting Limited,"Full Time, Graduate",HKD ($),16K - 19K per month,2024-09-14
E-Commerce Officer,Hong Kong Technology Venture Company Limited,"Full Time, Graduate",HKD ($),17K - 22K per month,2024-09-19
Audit assistant,Stella W.M. Kwok & Co,"Full Time, Graduate",HKD ($),18K per month,2024-09-18
Family Financial Planning Consultant,The HAIDER Family Office Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-19
Bank Operation intern(Retail Banking Services),ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-10
Web Designer Intern,Young Living Hong Kong Limited,"Part Time, Internship",HKD ($),60 - 70 per hour,2024-09-19
Digital Content Creator / Copywriter- English/ Chinese,Adbees Digital Limited,"Part Time, Temporary",HKD ($),40 - 60 per hour,2024-09-19
Multimedia/Graphic Designer,Adbees Digital Limited,"Part Time, Temporary",HKD ($),40 - 60 per hour,2024-09-19
Graduate Trainee (Audit),S. C. To & Co.,"Full Time, Graduate",HKD ($),16K - 20K per month,2024-09-19
General Practice Surveying Intern,CHFT Advisory & Appraisal Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-03
Marketing Assistant,Target Winway International Limited,"Part Time, Temporary",HKD ($),400 - 450 per day,2024-09-13
SEO Intern,First Page Limited,"Full Time, Internship",HKD ($),60 - 65 per hour,2024-09-14
Full-time Wealth Management Manager with monthly bonus,ALAN DONALD CO,"Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-19
Wealth Management Internship,ALAN DONALD CO,"Full Time, Internship",HKD ($),15K - 50K per month,2024-09-19
Assistant Editor (Geography),Ling Kee Publishing Co Ltd,"Full Time, Graduate",HKD ($),18K - 19K per month,2024-09-19
Part-time Job: Editorial Assistant (Geography),Ling Kee Publishing Co Ltd,"Part Time, Temporary",HKD ($),500 - 600 per day,2024-09-19
Sales Associate/Senior Sales Associate,E-FRAN HK LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
Research Scientist / Research Assistant,WSC Holding Limited,"Full Time, Graduate",HKD ($),18K - 23K per month,2024-09-16
Student Mentor,Hong Kong Scholars Education and Philanthropy Foundation Limited,"Part Time, Temporary",HKD ($),1.25K per month,2024-09-19
English Storytelling Tutor,iSpeech Limited,"Part Time, Internship",HKD ($),120 - 150 per hour,2024-09-06
