Titles,Companies,Currencies,Salaries,Closing Dates
Wealth Management Trainee,Nobleson Finance,HKD ($),45K - 60K per month,2024-08-26
劃圖員,Carewin Engineering Limited,HKD ($),15K - 18K per month,2024-09-14
Primary Textbook Editing Translator (Graduate Job),"e-Learning Development Laboratory, The University of Hong Kong",HKD ($),16K - 22K per month,2024-09-18
IT and Science Education Project Officer,"e-Learning Development Laboratory, The University of Hong Kong",HKD ($),16K - 20K per month,2024-09-18
Education Executive Officer (Graduate Job),"e-Learning Development Laboratory, The University of Hong Kong",HKD ($),16K - 20K per month,2024-09-18
"教育平台 (OpenAI, React, Laravel) 編程 Developer","e-Learning Development Laboratory, The University of Hong Kong",HKD ($),16K - 24K per month,2024-09-18
STEM Project Officer for K12 STEM Education,"e-Learning Development Laboratory, The University of Hong Kong",HKD ($),18.5K - 23K per month,2024-09-18
(Part Time / Freelance) Breaking Tutor 兼職 霹靂舞 導師 排舞導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) Street Dance Tutor 兼職 街舞 排舞導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) K-Pop Dance Tutor 兼職 K-Pop 排舞導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) HairDye Tutor 兼職 染髮 導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) HairStyling Tutor 兼職 髮型 導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
Sales & Marketing Assistant,Tung Chun Management Services Co. Limited,HKD ($),16K - 18K per month,2024-09-18
量化开发工程师,上海明汯投资管理有限公司,CNY (¥),35K per month,2024-09-18
量化研究员,上海明汯投资管理有限公司,CNY (¥),35K - 50K per month,2024-09-18
Blockchain Developer,Amber AM Limited,HKD ($),25K - 28K per month,2024-09-14
机器学习开发工程师,上海明汯投资管理有限公司,CNY (¥),35K - 50K per month,2024-09-18
机器学习算法研究员,上海明汯投资管理有限公司,CNY (¥),35K - 50K per month,2024-09-18
"Pre-Sales Engineer, IT Solution",ICO Limited,HKD ($),18K - 20K per month,2024-09-18
Procurement and Supply Chain Officer,Earth Products China Limited,HKD ($),23K - 28K per month,2024-09-17
Associate Systems Analyst,HKR International Limited,HKD ($),Negotiable,2024-09-18
"Analyst, Corporate Finance (6-month renewable contract)",Asian Capital Limited,HKD ($),Negotiable,2024-09-06
AI Digital Human Developer,Digital Human International (A.I.) Company LImited,HKD ($),18K - 20K per month,2024-09-15
全職數學教師（母語廣東話）,Star Ace Education,HKD ($),Negotiable,2024-09-11
Graduate Trainee - System Consultant,Global Sharp International Limited,HKD ($),25K - 27K per month,2024-09-02
Assistant Officer (Fresh graduates are welcome),Chevalier (Corporate Management) Limited,HKD ($),Negotiable,2024-08-26
Engineer,Mitochon Technology Limited,HKD ($),18K - 24K per month,2024-09-10
Management Trainee (Oversea),Bright Future Pharmaceutical Laboratories Limited,HKD ($),12K - 20K per month,2024-09-01
HR & Administration Officer/ Assistant Manager,PROMO X LIMITED,HKD ($),16K - 18K per month,2024-08-26
Accounting Officer,Cornerstone EV Charging Service Limited,HKD ($),18K - 22K per month,2024-09-17
Junior Developer / Programmer (Business Application),Fides Solutions Limited,HKD ($),20K - 23K per month,2024-09-17
Junior Quantitative Analyst(Ref: AQ-152-U),BOCI-Prudential Asset Management Limited,HKD ($),Negotiable,2024-09-17
Business Analyst,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Operation Officer,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Management Trainee,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Junior Trader,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Quantitative Analyst,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Business Development Executive,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Programmer Analyst,Ctech Group Limited,HKD ($),40K - 60K per month,2024-09-17
Junior Programmer (Machine Learning / AI),Ctech Group Limited,HKD ($),40K - 60K per month,2024-09-17
Project Assistant (5-Day Work),Centaline Group Management Limited,HKD ($),18K - 20K per month,2024-09-15
Business Development Executive,HKCOLO Limited,HKD ($),19K - 22K per month,2024-09-17
